Cliente,Marca1,Marca2,Marca3,Marca_Inno1,Marca_Inno2
10,0.23443575,0.31533092,0.28985947,0.22913972,0.25381902
12,0.22132647,0.33244565,0.34299552,0.12160835,0.20653474
14,0.45702973,0.21253632,0.3270766,0.19270627,0.19603571
15,0.5733897,0.17899084,0.2733011,0.25047874,0.20241037
18,0.3833398,0.23379026,0.31329072,0.27054298,0.228351
24,0.20228446,0.09505027,0.073017105,0.11310662,0.116879314
26,0.25626507,0.32471415,0.19865726,0.12519813,0.15160073
33,0.4162751,0.19384831,0.2419226,0.20910528,0.14754717
35,0.3601767,0.5122195,0.2607122,0.2428442,0.32715142
40,0.4938555,0.31163713,0.93559945,0.13766232,0.2774571
48,0.13277873,0.11656201,0.17405353,0.04057773,0.031228632
54,0.31379348,0.19760811,0.21364625,0.18800533,0.14230259
57,0.29305172,0.28217965,0.16419797,0.12932381,0.13134146
58,0.39166933,0.17495486,0.1907697,0.20681475,0.25514668
63,0.3123572,0.12237785,0.1485027,0.1797975,0.28622013
77,0.2662812,0.18099102,0.1533401,0.15945025,0.18039666
78,0.04173883,0.13229217,0.046415262,0.12238723,0.15539105
89,0.27392772,0.15772292,0.2195538,0.19186537,0.21949534
103,0.4281764,0.33706293,0.39017043,0.20461367,0.23994018
112,0.14300004,0.20616856,0.24183868,0.21611862,0.13691433
113,0.05719751,0.14617856,0.07027589,0.08698474,0.14319134
130,0.36052343,0.17274153,0.2906345,0.18127446,0.16233645
135,0.11314441,0.09491545,0.075408876,0.16204378,0.11711706
136,0.22799873,0.1757881,0.23150368,0.12705101,0.104567125
150,0.4708215,0.26786003,0.6518972,0.2250533,0.3173639
171,0.40821272,0.15442318,0.36784533,0.20395216,0.16813688
173,0.2677285,0.19982955,0.4155434,0.20060535,0.1798632
177,0.16445145,0.15003547,0.34718102,0.20636982,0.18576589
183,0.17039268,0.07538968,0.3041672,0.2702283,0.29019356
185,0.2922292,0.2677842,0.37364432,0.16458948,0.17610756
199,0.15661785,0.1377695,0.077090606,0.22137932,0.15922223
206,0.05790542,0.16205338,0.097558826,0.09591203,0.13143179
210,0.11079167,0.13755949,0.21908705,0.08690773,0.24084742
212,0.4938555,0.30277362,0.564724,0.13134006,0.11169085
216,0.09544011,0.16616072,0.343417,0.35971916,0.3603902
217,0.073305875,0.09103985,0.049131524,0.10418547,0.1430506
230,0.028321061,0.14097421,0.093854606,0.09185196,0.17027585
231,0.30862552,0.2684184,0.53256214,0.2603342,0.41130272
233,0.429115,0.23398559,0.8476214,0.23691359,0.25779754
235,0.13955157,0.1278999,0.10751768,0.111644894,0.20607202
237,0.23935255,0.06391498,0.101625785,0.34931597,0.29648474
241,0.1530002,0.19627088,0.36515024,0.14884982,0.1976972
242,0.20587766,0.14656927,0.2137532,0.10463568,0.17064665
245,0.16540515,0.08501052,0.27714515,0.12856792,0.12625247
255,0.3630543,0.15007353,0.3638616,0.21492659,0.25352418
258,0.17268601,0.18814246,0.49331957,0.15450767,0.1940604
259,0.21660918,0.14274912,0.16964754,0.15064633,0.20911115
263,0.08423221,0.17185584,0.22166948,0.12423722,0.16472337
265,0.5876684,0.24356623,0.3636225,0.2318461,0.25155202
267,0.11133385,0.07365222,0.21989986,0.093268074,0.12625247
274,0.3578953,0.22153577,0.44529757,0.53283966,0.6022592
276,0.14755802,0.04990625,0.21860492,0.113564156,0.12625247
277,0.030170752,0.2874455,0.24549806,0.12228089,0.14441688
279,0.062374517,0.25994173,0.26234403,0.1479351,0.17847341
280,0.022784587,0.13060324,0.20761916,0.09758506,0.39267877
281,0.10720767,0.1847446,0.32948914,0.10869143,0.13783796
283,0.022593291,0.10278184,0.043667935,0.06947242,0.17275138
287,0.33132774,0.19729963,0.32797033,0.1728667,0.12196207
288,0.45492718,0.1964292,0.6299004,0.0491597,0.07215353
300,0.45492718,0.2747618,0.9064492,0.04130938,0.053170644
305,0.30124444,0.22359861,0.24889614,0.18830381,0.19911586
313,0.2198431,0.2276296,0.17343472,0.13677992,0.098135814
315,0.4206659,0.19256397,0.87315166,0.27614015,0.2975374
321,0.34909105,0.23594947,0.42657304,0.25494954,0.24221498
324,0.15069588,0.10477115,0.21795009,0.12843129,0.1324115
329,0.29618162,0.1307551,0.21474732,0.13308024,0.18448451
333,0.4162751,0.21422708,0.96417844,0.2377173,0.3217441
334,0.19846196,0.14232594,0.24491303,0.09845679,0.22142182
336,0.27064493,0.089506835,0.20747727,0.19124737,0.19873886
339,0.24696521,0.17159891,0.74698496,0.1940832,0.17859106
343,0.19040132,0.11641045,0.19355522,0.14203073,0.14152266
348,0.22388975,0.12859872,0.19180918,0.27414277,0.17176756
351,0.18179327,0.07730352,0.17800142,0.11287755,0.13911569
352,0.4938555,0.38614535,0.8069272,0.23634654,0.19253342
354,0.15337238,0.13687529,0.28126007,0.22118847,0.17497945
355,0.19841446,0.07223039,0.15248357,0.11536708,0.13433242
359,0.25341964,0.06965822,0.08350719,0.20307033,0.1756122
360,0.12958542,0.15977164,0.10963,0.15270467,0.14941496
365,0.21142794,0.15848744,0.25079685,0.17259979,0.27128953
370,0.107630596,0.09937255,0.18138686,0.12432427,0.14239113
372,0.04700885,0.1855636,0.8832828,0.20313275,0.15200049
374,0.17186694,0.11492055,0.95111424,0.41169766,0.642681
377,0.16234094,0.13513635,0.28381875,0.12177463,0.18650226
381,0.16163176,0.23665483,0.79073906,0.13863224,0.23695363
385,0.21589115,0.10762812,0.14143077,0.2034583,0.17883968
397,0.20717418,0.10287121,0.2535605,0.17422092,0.17905875
399,0.28179398,0.30279484,0.3405059,0.22032157,0.24362242
405,0.22519654,0.10323468,0.18751866,0.22595873,0.09908499
411,0.3900453,0.21368839,0.3866147,0.22888811,0.2539838
417,0.44258222,0.17438117,0.9279152,0.14339133,0.33313417
418,0.16333035,0.16009027,0.77103794,0.14349543,0.15459418
419,0.17097685,0.057802536,0.18752828,0.11332463,0.14353253
